path;title;url
static_page/requestproductpublicationinput.doc.html.html;RequestProductPublicationInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/requestproductpublicationinput.doc.html
static_page/removepricingplaninput.doc.html.html;RemovePricingPlanInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/removepricingplaninput.doc.html
static_page/appwise.html.html;AppWise API Reference - AppDirect;https://help.appdirect.com/api/appwise.html
static_page/appinsights.html.html;AppInsights API Reference - AppDirect;https://help.appdirect.com/api/appinsights.html
static_page/publisheditionpricingtaginput.doc.html.html;PublishEditionPricingTagInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/publisheditionpricingtaginput.doc.html
static_page/localizedstringinput.doc.html.html;LocalizedStringInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/localizedstringinput.doc.html
static_page/pricingplaninput.doc.html.html;PricingPlanInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/pricingplaninput.doc.html
static_page/pricingperiodinput.doc.html.html;PricingPeriodInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/pricingperiodinput.doc.html
static_page/pricingmonetarystructureinput.doc.html.html;PricingMonetaryStructureInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/pricingmonetarystructureinput.doc.html
static_page/productcreateinput.doc.html.html;ProductCreateInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/productcreateinput.doc.html
static_page/pricingcontractinput.doc.html.html;PricingContractInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/pricingcontractinput.doc.html
static_page/outboundcredentialsinput.doc.html.html;OutboundCredentialsInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/outboundcredentialsinput.doc.html
static_page/localizedbasicinformationinput.doc.html.html;LocalizedBasicInformationInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/localizedbasicinformationinput.doc.html
static_page/localestringinput.doc.html.html;LocaleStringInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/localestringinput.doc.html
static_page/itempriceinput.doc.html.html;ItemPriceInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/itempriceinput.doc.html
static_page/integrationconfigurationupdateinput.doc.html.html;IntegrationConfigurationUpdateInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/integrationconfigurationupdateinput.doc.html
static_page/integrationconfigurationinput.doc.html.html;IntegrationConfigurationInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/integrationconfigurationinput.doc.html
static_page/integrationadditionalsettingsformfieldoptioninput.doc.html.html;IntegrationAdditionalSettingsFormFieldOptionInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/integrationadditionalsettingsformfieldoptioninput.doc.html
static_page/integrationadditionalsettingsformfieldinput.doc.html.html;IntegrationAdditionalSettingsFormFieldInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/integrationadditionalsettingsformfieldinput.doc.html
static_page/integrationadditionalsettingsforminput.doc.html.html;IntegrationAdditionalSettingsFormInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/integrationadditionalsettingsforminput.doc.html
static_page/includediteminput.doc.html.html;IncludedItemInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/includediteminput.doc.html
static_page/editionpricinginput.doc.html.html;EditionPricingInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/editionpricinginput.doc.html
static_page/editionpricingbytaginput.doc.html.html;EditionPricingByTagInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/editionpricingbytaginput.doc.html
static_page/editioninput.doc.html.html;EditionInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/editioninput.doc.html
static_page/deleteproductintegrationopenidconnectconfigurationinput.doc.html.html;DeleteProductIntegrationOpenIdConnectConfigurationInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/deleteproductintegrationopenidconnectconfigurationinput.doc.html
static_page/deleteproductintegrationsinglesignonconfigurationsetupforminput.doc.html.html;DeleteProductIntegrationSingleSignOnConfigurationSetupFormInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/deleteproductintegrationsinglesignonconfigurationsetupforminput.doc.html
static_page/domainassociationconfigurationinput.doc.html.html;DomainAssociationConfigurationInput | AppDirect GraphQL Reference Documentations;https://help.appdirect.com/api/graphql/domainassociationconfigurationinput.doc.html
